,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Kuwait,0.25547,0.1047,0.1047,0.12983,0.15077,0.14658,0.19998,0.29753,0.36752,0.43481,0.26803,0.01885,0.09687,0.2004,0.22074,0.22074,0.34387,0.34276,0.33277,0.31946,0.35496,0.31429,0.2958,0.33647,0.35866,0.45479,0.45886,0.44592,0.46958,0.45771,0.46673
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0.02932,0.03455,0.04293,0.0534,0.04921,0.05759,0.07329,0.08355,0.07653,0.10317,0.10365,0.12983,0.12239,0.14642,0.15345,0.1357,0.13385,0.16602,0.24255,0.19005,0.23183,0.23442,0.24182,0.23627,0.24736,0.33906,0.39822,0.40237,0.4999,0.54464,0.6478
Palestine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0.19265,0.16454,0.19474,0.18228,0.21882,0.19998,0.20207,0.20741,0.21668,0.22518,0.28897,0.34342,0.41966,0.49916,0.49915,0.49916,0.50655,0.53761,0.54686,0.5158,0.55684,0.40487,0.41079,0.45146,0.55573,0.69143,0.72508,0.7284,0.74693,0.78017,0.80605
Saudi Arabia,0.3497,0.5905,0.45022,0.43765,0.64914,0.74965,0.93183,0.99078,1.0759,1.10185,1.12762,1.18311,1.25714,1.3274,1.39394,1.40652,1.52854,1.67644,1.73116,1.70824,1.84172,1.98518,2.09647,2.22071,2.42851,2.63409,2.71617,2.75166,2.97425,2.90067,3.24121
Syria,0.01635,0.00849,0.00866,0.00847,0.00866,0.00481,0.00866,0.02106,0.01733,0.03398,0.09909,0.11929,0.1223,0.1257,0.12909,0.09988,0.13657,0.15492,0.19534,0.2052,0.20724,0.18991,0.25143,0.25328,0.26252,0.22555,0.23109,0.22185,0.22333,0.27435,0.35607
United Arab Emirates,0.10994,0.1403,0.09528,0.19055,0.25233,0.39472,0.45126,0.60675,0.65045,0.73469,0.69417,0.82713,0.94439,0.83504,0.80125,0.91661,1.00387,1.07227,1.12366,1.14511,1.16212,1.20094,1.34736,1.40061,1.48676,1.52521,1.59324,1.81805,2.19778,2.16595,2.23845
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01331,0.0281
Africa,0.83315,0.68804,0.93403,1.14243,1.24561,1.208,1.28458,1.39222,1.47278,1.50167,1.51526,1.68664,1.65561,1.70642,1.78388,1.87281,1.94098,1.93786,1.99061,2.02983,2.20208,2.46163,2.54445,2.76462,2.81811,3.22435,3.1188,3.30753,3.87602,3.63183,3.81035
Algeria,0.5428,0.40828,0.65254,0.77408,0.8024,0.68912,0.71036,0.77377,0.84051,0.77922,0.80358,0.9145,0.8614,0.77301,0.81468,0.87552,0.85888,0.80237,0.82983,0.84814,0.81829,0.81351,0.81232,0.8167,0.76734,0.95381,1.01888,1.05299,1.10147,1.14449,1.14704
Angola,0.00961,0.00925,0.01047,0.01298,0.01256,0.01361,0.01466,0.01665,0.01849,0.0159,0.01989,0.02094,0.02108,0.02071,0.01922,0.0207,0.02071,0.02108,0.02145,0.02071,0.02108,0.0196,0.02292,0.02403,0.02773,0.02403,0.02514,0.03069,0.02514,0.02551,0.0271
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0.00074,0.00074,0.00074,0.00074
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0.00042,0.00063,0.00063,0.00073,0.00073,0.00209,0.00042,0.00209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0.00666,0.00666,0.01368,0.0196,0.03439
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0.02034,0.02218,0.02958,0.04955,0.04992,0.04992,0.04737,0.04737,0.04596,0.04596,0.04596,0.05303,0.05656,0.05656,0.05656
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0.03141,0.05235,0.09842,0.11873,0.14972,0.18323,0.2094,0.23222,0.25585,0.28618,0.29944,0.33609,0.3654,0.41745,0.44332,0.45959,0.49546,0.49916,0.50803,0.54242,0.67664,0.90773,0.92437,1.09519,1.16323,1.26491,1.04639,1.13258,1.55479,1.64057,1.70676
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0.00074,0.00111,0.00111,0.04696,0.04807,0.0037,0.04807,0.04807,0.05513,0.05546,0.05731,0.05842
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0.00259,0.00222,0.00209,0.00555,0.00555,0.00209,0.00105,0.00429,0.0037,0.00333,0.00314,0.00372,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.00296,0.00296,0.00333,0.00333,0.0037,0.0037,0.0037,0.00296,0.00296,0.00296,0.00296
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0.18846,0.11517,0.09214,0.11726,0.12773,0.14972,0.1759,0.1683,0.16417,0.1725,0.18322,0.18338,0.18218,0.176,0.18154,0.17933,0.19301,0.20151,0.20151,0.15677,0.19227,0.19929,0.20632,0.17563,0.21926,0.21556,0.1736,0.19671,0.20336,0.22222,0.25306
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0.00259,0.00333,0.00314,0.00335,0.00209,0.00314,0.00314,0.0022,0.00222,0.00222,0.00209,0.00144,0.00089,0.00111,0.00111,0.00074,0.00074,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00222,0.00133,0.02071,0.02071,0.02108
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222,0.00222,0.00222,0.00222,0.00222,0.00296,0.00296,0.00739,0.01479,0.0037,0.0037,0.00555,0.00296
Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0.03957,0.07957,0.05235,0.08502,0.10156,0.11308,0.12145,0.13684,0.1394,0.17378,0.13716,0.1759,0.18118,0.18672,0.16823,0.19189,0.20188,0.2163,0.21815,0.22961,0.24884,0.22961,0.23516,0.31466,0.34461,0.38306,0.40376,0.39193,0.45387,0.15345,0.18376
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063,0.00127,0.00159,0.0019,0.00127,0.00127,0.00127,0.00159,0.00159,0.00159,0.00159,0.00159,0.00159,0.00159,0.00159,0.00159,0.00159,0.00159
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0.06655,0.0721,0.07247,0.06807,0.06471,0.05361,0.05176,0.06101,0.07765,0.08504,0.0843,0.08245,0.08134,0.15529,0.21815,0.18487,0.13274,0.14827
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0.01508,0.01864,0.0201,0.02073,0.02433,0.02884
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0.01571,0.01724,0.02225,0.02472,0.04326,0.05191,0.0482,0.05585,0.04845,0.06854,0.06674,0.05068,0.03832,0.06054,0.07871,0.06579,0.07629,0.10374,0.11867,0.1211,0.12432,0.1546,0.155,0.14895,0.14935,0.17357,0.15339,0.13926,0.1764,0.12352,0.1324
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,2.77078,2.90126,2.95689,3.22332,3.83011,4.2699,4.54838,4.87696,5.30162,5.58749,6.21214,6.66291,6.96343,7.39888,8.01236,8.47574,9.15061,9.60147,9.72263,10.4719,10.96785,11.11369,12.08704,12.66688,13.31545,14.36652,15.91798,17.42285,18.24393,19.09659,21.25305
Afghanistan,0.00209,0.00314,0.00524,0.00524,0.00524,0,0,0.02255,0.07321,0.07149,0.07015,0.01152,0.01109,0.01109,0.01109,0.00739,0.0085,0.0085,0.0085,0.0085,0.0085,0.00185,0.00185,0.00074,0.00074,0.00074,0.00074,0.00148,0.00185,0.00111,0.00111
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0.33885,0.38726,0.42902,0.4346,0.46408,0.49544,0.54128,0.55488,0.57886,0.59451,0.6525,0.61028,0.63208,0.65789,0.68776,0.73808,0.74077,0.74599,0.78171,0.8092,0.84955,0.89577,0.94626,0.97736,1.04407,1.08017,1.08673,1.12505,1.18427,1.16137,1.19738
Bangladesh,0.04705,0.05616,0.06117,0.06455,0.0894,0.0941,0.10633,0.12356,0.14123,0.15452,0.15244,0.16279,0.19407,0.2134,0.23226,0.2548,0.26379,0.26379,0.2835,0.31289,0.33536,0.35611,0.38376,0.43208,0.46586,0.49787,0.54481,0.5786,0.63656,0.70325,0.72227
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,0.07284,0.07527,0.08498,0.06313,0.05342,0.06434,0.04006,0.06942,0.05873,0.06904,0.05584,0.01731,0.04039,0.03301,0.02853,0.03954,0.03179,0.03586,0.03097,0.03845,0.04067,0.04992,0.06175,0.06397,0.07395,0.08689,0.14753,0.15163,0.15529,0.09207,0.10982
Burma (Myanmar),0.01152,0.01256,0.01665,0.01958,0.02408,0.02932,0.03979,0.04209,0.03845,0.0403,0.03979,0.03692,0.03635,0.04094,0.05323,0.06105,0.05956,0.05621,0.06551,0.05146,0.05872,0.06188,0.08189,0.09343,0.09938,0.1541,0.13474,0.15335,0.1433,0.12097,0.12246
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0.58126,0.51795,0.43853,0.49608,0.50414,0.52601,0.55708,0.56894,0.57929,0.58126,0.56902,0.58851,0.59481,0.62263,0.656,0.67573,0.75067,0.8103,0.84212,0.90911,0.94298,1.01808,1.10904,1.19488,1.41107,1.72896,2.08317,2.60211,2.84823,3.26591,3.93804
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,0,0,0,0,0,0,0,0,0,0,0.01427,0.01539,0.01726,0.0182,0.01965,0.02083,0.06892,0.10885,0.10144,0.11198,0.09976,0.10068,0.09569,0.07107,0.09332,0.11351,0.11087,0.09946,0.12424,0.11858,0.14864
India,0.0587,0.07366,0.09995,0.11859,0.1269,0.1516,0.20718,0.26093,0.35681,0.36278,0.45925,0.5168,0.54874,0.61215,0.68328,0.72231,0.72009,0.74127,0.78655,0.77778,0.8216,0.88003,0.95671,1.02869,1.16058,1.35426,1.46165,1.55849,1.61991,1.95607,2.36629
Indonesia,0.27309,0.2727,0.25911,0.34768,0.40595,0.48014,0.51782,0.53569,0.56871,0.63669,0.69264,0.84142,0.87638,0.92615,1.05201,1.15673,1.2391,1.22678,1.07127,1.22563,1.04394,0.79104,0.86879,0.87765,0.73599,0.78372,1.08166,1.33379,1.308,1.46544,1.5917
Japan,0.96711,0.99027,1.00267,1.07035,1.4368,1.53658,1.56422,1.61552,1.69405,1.81063,2.14168,2.29704,2.29898,2.34134,2.4643,2.54414,2.66568,2.73527,2.8254,2.9734,3.07709,3.06203,3.2734,3.2734,3.29616,3.28425,3.6291,3.95794,3.85811,3.85442,3.91516
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",0,0,0,0,0,0,0.00281,0.08358,0.10798,0.10451,0.11973,0.13863,0.18174,0.22702,0.3022,0.36541,0.48275,0.58719,0.54929,0.66887,0.74815,0.8065,0.92496,0.96379,1.13218,1.20437,1.28741,1.3908,1.41469,1.35992,1.69638
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0.05841,0.06467,0.05528,0.08031,0.15854,0.23468,0.291,0.27634,0.30167,0.31015,0.32855,0.39947,0.40468,0.48194,0.50723,0.51057,0.59238,0.62065,0.64742,0.68795,0.8631,0.94305,1.03528,1.01929,0.92595,0.96239,0.98991,0.90178,1.18217,1.15799,1.20559
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0.03594,0.04402,0.07633,0.08133,0.10433,0.13499,0.15935,0.15375,0.16832,0.17227,0.17289,0.18455,0.19832,0.17937,0.18019,0.17199,0.19433,0.20893,0.18391,0.21052,0.22084,0.23628,0.22017,0.17077,0.1491,0.13971,0.14823,0.16037,0.15124,0.15389,0.15768
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0.2789,0.30771,0.34515,0.33345,0.33064,0.34091,0.36613,0.39153,0.41527,0.44364,0.45019,0.49876,0.51437,0.54452,0.5858,0.60328,0.65045,0.65243,0.66298,0.73225,0.79921,0.72334,0.70439,0.77425,0.84184,0.9463,1.10975,1.13065,1.16751,1.18659,1.2148
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0.00222,0.00296,0.00185,0.0037,0.00481,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00518,0.00518,0.0037,0.00518,0.00503,0.00481,0.0037,0.00407
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0.00035,0.00035,0.00035,0.00035,0.00035,0.0069,0.07254,0.10518,0.10518,0.10518,0.07979,0.10518,0.10663,0.11425,0.10373
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0.04068,0.05546,0.05546,0.05546,0.05546,0.05546,0.05546,0.05546,0.05546,0.04363,0.04326,0.19671,0.2444,0.2444,0.2444,0.28397,0.33906,0.29802,0.31059
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0.04502,0.05553,0.0335,0.04921,0.05444,0.05235,0.04188,0.04523,0.02514,0.05251,0.08376,0.105,0.11466,0.11124,0.14055,0.1508,0.17232,0.20568,0.24107,0.24328,0.26809,0.26692,0.31726,0.32428,0.38945,0.40623,0.41482,0.44592,0.4554,0.47218,0.59159
Thailand,0,0.04,0.047,0.0569,0.07,0.128,0.112,0.1315,0.19281,0.18211,0.208,0.236,0.249,0.31042,0.34184,0.36763,0.41852,0.52548,0.55549,0.61415,0.68833,0.81806,0.90328,0.9954,1.03129,1.12341,1.14894,1.2214,1.2873,1.35147,1.55538
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0.00036,0.00232,0.00232,0.00218,0.00145,0.00145,0.00145,0.00109,0.00109,0.00145,0.00253,0.00761,0.00915,0.00915,0.02597,0.03037,0.00841,0.02561,0.03659,0.04207,0.04756,0.08269,0.09878,0.10976,0.14635,0.20854,0.21586,0.25537,0.2594,0.30037
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,53.86478,53.89472,54.05323,55.15048,60.84457,63.37217,64.22482,67.5605,71.01212,74.23025,75.36644,76.89779,77.04088,79.04077,78.88368,81.13642,84.67645,84.65621,85.6071,87.80456,90.94916,91.86212,95.19847,98.18876,101.6905,105.02784,107.38045,111.06514,114.43561,110.87283,119.35265
